0,50.501
30,50.4509
60,50.4486
90,50.4251
120,50.3974
150,50.3867
180,50.3073
210,50.2721
240,50.2393
270,50.2056
300,50.1753
330,50.155
360,50.1368
390,50.0969
420,50.078
450,50.0681
480,50.0567
510,0.0617045
540,0.0567833
570,0.0254367
600,0
600,0
0,60.3055
30,60.2784
60,0.361195
90,0.360096
120,0.331337
150,0.327071
180,0.291874
210,0.281114
240,0.272917
270,0.251916
300,0.231943
330,0.199392
360,0.173998
390,0.128409
420,0.0705382
450,0.044107
480,0.0180338
510,0.0110304
540,0
540,0
0,0.442916
30,0.385855
60,0.371212
90,0.361992
120,0.286738
150,0.248936
180,0.202147
210,0.171121
240,0.153126
270,0.125221
300,0.0815165
330,0.0343211
360,0.0174994
390,0
390,0
0,0.313268
30,0.297528
60,0.260032
90,0.245616
120,0.179671
150,0.15609
180,0.141536
210,0.125919
240,0.107085
270,0.0899897
300,0.0757261
330,0.0520544
360,0.0411357
390,0.0213675
420,0
420,0
